title,code,type,last update of data,last table structure change,data start,data end,start_year,start_period,end_year,end_period,domain
"Percentage distribution of duration of disability (in years) since onset, by cause of disability and sex",HLTH_DB_EMDUCA,dataset,2010-02-09 10:00:00+00:00,2024-10-14 21:00:00+00:00,2002,2002,2002.0,,2002.0,,HLTH
"Prevalence of disability by sex, age and educational attainment level",HLTH_DB_EMEDAG,dataset,2009-03-27 10:00:00+00:00,2023-12-21 22:00:00+00:00,2002,2002,2002.0,,2002.0,,HLTH
"Prevalence of disability by sex, age and marital status",HLTH_DB_EMMAAG,dataset,2009-03-27 10:00:00+00:00,2023-12-21 22:00:00+00:00,2002,2002,2002.0,,2002.0,,HLTH
Employees with care responsibilities by working time flexibility for care and occupation,LFSO_18POSEI,dataset,2022-02-04 22:00:00+00:00,2024-01-03 22:00:00+00:00,2018,2018,2018.0,,2018.0,,LFSO
"Prevalence of disability by sex, age and economic activity (NACE Rev. 1)",HLTH_DB_EMNAAG,dataset,2009-03-27 10:00:00+00:00,2023-12-21 22:00:00+00:00,2002,2002,2002.0,,2002.0,,HLTH
"Employees with care responsibilities by flexibility for taking whole days off for care, educational attainment level and degree of urbanisation",LFSO_18POWTEDU,dataset,2022-02-04 22:00:00+00:00,2024-01-03 22:00:00+00:00,2018,2018,2018.0,,2018.0,,LFSO
"Prevalence of disability by sex, age and occupation",HLTH_DB_EMOCAG,dataset,2009-03-27 10:00:00+00:00,2023-12-21 22:00:00+00:00,2002,2002,2002.0,,2002.0,,HLTH
Employees with care responsibilities by flexibility for taking whole days off for care and occupation,LFSO_18POWTI,dataset,2022-02-04 22:00:00+00:00,2024-01-03 22:00:00+00:00,2018,2018,2018.0,,2018.0,,LFSO
"Prevalence of disability by sex, economic activity (NACE Rev. 1) and NUTS 2 region",HLTH_DB_EMRENA,dataset,2009-03-27 10:00:00+00:00,2023-12-21 22:00:00+00:00,2002,2002,2002.0,,2002.0,,HLTH
Persons in employment or with previous employment experience by effects of care of incapacitated relatives on employment and educational attainment level,LFSO_18REDSTED,dataset,2022-02-04 22:00:00+00:00,2024-01-03 22:00:00+00:00,2018,2018,2018.0,,2018.0,,LFSO
Percentage distribution of severities of disability by sex and age,HLTH_DB_EMSEAG,dataset,2009-03-27 10:00:00+00:00,2023-12-21 22:00:00+00:00,2002,2002,2002.0,,2002.0,,HLTH
Population with work interruption for childcare by duration of interruption and educational attainment level,LFSO_18STLENED,dataset,2022-02-04 22:00:00+00:00,2024-01-03 22:00:00+00:00,2018,2018,2018.0,,2018.0,,LFSO
"Early leavers from education and training (age group 18-24) by type of disability, sex and labour status",HLTH_DE010,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Tertiary educational attainment (age group 30-34) by type of disability and sex,HLTH_DE020,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Population by effects of childcare on employment and educational attainment level,LFSO_18STWKED,dataset,2022-02-04 22:00:00+00:00,2024-01-03 22:00:00+00:00,2018,2018,2018.0,,2018.0,,LFSO
"Population by type of disability, sex, age and educational attainment level",HLTH_DE040,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Population by effects of childcare on employment and citizenship,LFSO_18STWKNAT,dataset,2022-02-04 22:00:00+00:00,2024-01-03 22:00:00+00:00,2018,2018,2018.0,,2018.0,,LFSO
"Participation in education and training by type of disability, sex and age",HLTH_DE050,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Persons in employment with care responsibilities by main obstacle at work for reconciliation and degree of urbanisation,LFSO_18WOBSDU,dataset,2022-02-04 22:00:00+00:00,2024-01-03 22:00:00+00:00,2018,2018,2018.0,,2018.0,,LFSO
"Participation in formal education by type of disability, sex and age",HLTH_DE060,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Participation in non-formal education and training by type of disability, sex and age",HLTH_DE070,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Persons in employment with care responsibilities by main obstacle at work for reconciliation and educational attainment level,LFSO_18WOBSED,dataset,2022-02-04 22:00:00+00:00,2024-01-03 22:00:00+00:00,2018,2018,2018.0,,2018.0,,LFSO
"Self-perceived health by level of disability (activity limitation), sex and age",HLTH_DH010,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by working time flexibility, educational attainment level and professional status",LFSO_19FXWT01,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Employees by working time flexibility, type of employment contract and size of firm",LFSO_19FXWT02,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Persons having a longstanding health problem by level of disability (activity limitation), sex and age",HLTH_DH020,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by working time flexibility, economic activity (NACE Rev. 2) and occupation",LFSO_19FXWT03,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Self-reported unmet needs for medical examination by level of disability (activity limitation), sex and age",HLTH_DH030,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by level of difficulty to take one or two hours off at short notice, educational attainment level and professional status",LFSO_19FXWT04,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
Tenure status by level of disability (activity limitation) and poverty status,HLTH_DHC010,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2005,2024,2005.0,,2024.0,,HLTH
"Persons in employment by level of difficulty to take one or two hours off at short notice, household composition and working from home",LFSO_19FXWT05,dataset,2022-02-04 22:00:00+00:00,2025-03-20 10:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Overall satisfaction with the dwelling by level of disability (activity limitation), sex and age",HLTH_DHC020,dataset,2014-10-09 21:00:00+00:00,2024-10-14 21:00:00+00:00,2007,2012,2007.0,,2012.0,,HLTH
"Persons in employment by level of difficulty to take one or two hours off at short notice, economic activity (NACE Rev. 2) and occupation",LFSO_19FXWT06,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Severe housing deprivation rate by level of disability (activity limitation), sex and age",HLTH_DHC030,dataset,2025-04-30 09:00:00+00:00,2025-04-30 09:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by level of difficulty to take one or two days of leave at short notice, educational attainment level and professional status",LFSO_19FXWT07,dataset,2022-02-04 22:00:00+00:00,2022-02-04 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Employees by level of difficulty to take one or two days of leave at short notice, type of employment contract and size of firm",LFSO_19FXWT08,dataset,2022-02-04 22:00:00+00:00,2022-02-04 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Overcrowding rate by level of disability (activity limitation), sex and age",HLTH_DHC040,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by level of difficulty to take one or two days of leave at short notice, household composition and working from home",LFSO_19FXWT09,dataset,2022-02-04 22:00:00+00:00,2025-03-20 10:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Share of housing cost in disposable income by level of disability (activity limitation), sex and age",HLTH_DHC050,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by level of difficulty to take one or two days of leave at short notice, economic activity (NACE Rev. 2) and occupation",LFSO_19FXWT10,dataset,2022-02-04 22:00:00+00:00,2022-02-04 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Housing cost overburden rate by level of disability (activity limitation), sex and age",HLTH_DHC060,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by frequency of adapting working time to fulfil work tasks, educational attainment level and professional status",LFSO_19FXWT11,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Employees by frequency of adapting working time to fulfil work tasks, type of employment contract and size of firm",LFSO_19FXWT12,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Persons living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor by level of disability (activity limitation), sex and age",HLTH_DHC070,dataset,2025-04-30 09:00:00+00:00,2025-04-30 09:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by frequency of adapting working time to fulfil work tasks, economic activity (NACE Rev. 2) and occupation",LFSO_19FXWT13,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Persons with no bath or shower in their dwelling by level of disability (activity limitation), sex and age",HLTH_DHC080,dataset,2025-03-21 22:00:00+00:00,2024-02-02 22:00:00+00:00,2010,2023,2010.0,,2023.0,,HLTH
"Persons in employment by frequency of work-related contacts during leisure time (in last two months), educational attainment level and professional status",LFSO_19FXWT14,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Persons not having indoor flushing toilet for the sole use of their household by level of disability (activity limitation), sex and age",HLTH_DHC090,dataset,2025-03-21 22:00:00+00:00,2024-02-02 22:00:00+00:00,2010,2023,2010.0,,2023.0,,HLTH
"Employees by frequency of work-related contacts during leisure time (in last two months), type of employment contract and size of firm",LFSO_19FXWT15,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Persons considering their dwelling as too dark by level of disability (activity limitation), sex and age",HLTH_DHC100,dataset,2025-04-30 09:00:00+00:00,2025-04-30 09:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by frequency of work-related contacts during leisure time (in last two months), economic activity (NACE Rev. 2) and occupation",LFSO_19FXWT16,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Noise from neighbours or from the street by level of disability (activity limitation), sex and age",HLTH_DHC110,dataset,2025-04-30 09:00:00+00:00,2025-04-30 09:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Employees by recording presence or working hours, educational attainment level and size of firm",LFSO_19MTWK17,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Pollution, grime or other environmental problems by level of disability (activity limitation), sex and age",HLTH_DHC120,dataset,2025-04-30 09:00:00+00:00,2025-04-30 09:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Employees by recording presence or working hours, economic activity (NACE Rev. 2) and occupation",LFSO_19MTWK18,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Crime, violence or vandalism in the area by level of disability (activity limitation), sex and age",HLTH_DHC130,dataset,2025-04-30 09:00:00+00:00,2025-04-30 09:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by frequency of working under time pressure, educational attainment level and professional status",LFSO_19MTWK19,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Inability to keep home adequately warm by level of disability (activity limitation), sex and age",HLTH_DHC140,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Persons in employment by frequency of working under time pressure, size of firm and atypical working time",LFSO_19MTWK20,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Persons in employment by frequency of working under time pressure, economic activity (NACE Rev. 2) and occupation",LFSO_19MTWK21,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
Average number of usual weekly hours of work in main job by frequency of working under time pressure and frequency of work-related contacts during leisure time (in last two months),LFSO_19MTWK22,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Employment rate of people by type of disability, sex and age",HLTH_DLM010,dataset,2014-07-09 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Persons in employment by job autonomy, educational attainment level and professional status",LFSO_19MTWK23,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Activity rate of people by type of disability, sex and age",HLTH_DLM020,dataset,2014-07-09 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Unemployment rate of people by type of disability, sex and age",HLTH_DLM030,dataset,2014-07-09 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Persons in employment by job autonomy, economic activity (NACE Rev. 2) and occupation",LFSO_19MTWK24,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Population by type of disability, sex, age and labour status",HLTH_DLM040,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Persons in employment by main place of work, educational attainment level and degree of urbanisation",LFSO_19PLWK25,dataset,2022-02-04 22:00:00+00:00,2021-02-08 22:00:00+00:00,2019,2019,2019.0,,2019.0,,LFSO
"Employment by type of disability, sex, age and professional status",HLTH_DLM050,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Employer business demography by legal form and NACE Rev. 2 activity,BD_SALGE1_L_FORM,dataset,2025-01-29 10:00:00+00:00,2024-11-15 22:00:00+00:00,2015,2022,2015.0,,2022.0,,BD
"Inactive population by type of disability, sex, age and the main reason for not seeking employment",HLTH_DLM060,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"EU direct investment flows, by country and economic activity (BPM6)",BOP_FDI6_FLOW,dataset,2025-04-09 09:00:00+00:00,2025-04-07 21:00:00+00:00,2013,2023,2013.0,,2023.0,,BOP
"Not employed people but having a previous work experience by type of disability, sex, age and the main reason for leaving the last job or business",HLTH_DLM070,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Population by groups of country of citizenship, age groups, groups of current activity status and NUTS 2 region",CENS_21CTZA_R2,dataset,2025-04-28 21:00:00+00:00,2025-04-28 21:00:00+00:00,2021,2021,2021.0,,2021.0,,CENS
"Employment by type of disability, sex, age and full-time/part-time employment",HLTH_DLM080,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Deaths by week, sex, 5-year age group and NUTS 3 region",DEMO_R_MWEEK3,dataset,2025-05-02 21:00:00+00:00,2025-04-29 21:00:00+00:00,2000-W01,2025-W14,2000.0,W01,2025.0,W14,DEMO
"Employment by type of disability, sex, age and working at home",HLTH_DLM090,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Deaths by week and sex,DEMO_R_MWK_TS,dataset,2025-05-02 21:00:00+00:00,2025-04-29 21:00:00+00:00,2000-W01,2025-W14,2000.0,W01,2025.0,W14,DEMO
"Employment by type of disability, sex, age and supervisor responsibility",HLTH_DLM100,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Employees by sex, economic activity and educational attainment (2022)",EARN_SES22_04,dataset,2025-02-12 22:00:00+00:00,2025-02-12 22:00:00+00:00,2022,2022,2022.0,,2022.0,,EARN
"Employment by type of disability, sex, age and number of usual weekly hours of work in main job",HLTH_DLM110,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Employees by sex, economic activity and length of service with the enterprise (2022)",EARN_SES22_05,dataset,2025-02-12 22:00:00+00:00,2025-02-12 22:00:00+00:00,2022,2022,2022.0,,2022.0,,EARN
"Employment by type of disability, sex, age and economic activity",HLTH_DLM120,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Mean hourly earnings by sex, economic activity and employment contract (2022)",EARN_SES22_15,dataset,2025-02-12 22:00:00+00:00,2025-02-12 22:00:00+00:00,2022,2022,2022.0,,2022.0,,EARN
"Mean hourly earnings by sex, economic activity and length of service with the enterprise (2022)",EARN_SES22_17,dataset,2025-02-12 22:00:00+00:00,2025-02-12 22:00:00+00:00,2022,2022,2022.0,,2022.0,,EARN
"Employment by type of disability, sex, age and occupation",HLTH_DLM130,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Mean monthly hours paid by sex, age and occupation - NACE Rev. 2, B-S excluding O (2022)",EARN_SES22_35,dataset,2025-02-12 22:00:00+00:00,2025-02-12 22:00:00+00:00,2022,2022,2022.0,,2022.0,,EARN
"People reporting a limitation in work by the reason for limitation in work, sex and age",HLTH_DLM140,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Mean monthly hours paid by sex, economic activity and length of service with the enterprise (2022)",EARN_SES22_38,dataset,2025-02-12 22:00:00+00:00,2025-02-12 22:00:00+00:00,2022,2022,2022.0,,2022.0,,EARN
"People reporting a limitation in the amount of work caused by longstanding health problems or difficulties in basic activities by cause, sex and age",HLTH_DLM150,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Mean annual earnings by sex, occupation and economic activity (2022)",EARN_SES22_49,dataset,2025-02-12 22:00:00+00:00,2025-02-12 22:00:00+00:00,2022,2022,2022.0,,2022.0,,EARN
"People reporting a limitation in the type of work caused by longstanding health problems or difficulties in basic activities by cause, sex and age",HLTH_DLM160,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Persons who have experienced once or repeated physical/sexual violence, by sex and perpetrator",GBV_VTP_FREQ,dataset,2025-03-20 10:00:00+00:00,2025-03-20 10:00:00+00:00,2021,2021,2021.0,,2021.0,,GBV
"People reporting a limitation in getting to and from work caused by longstanding health problems or difficulties in basic activities by cause, sex and age",HLTH_DLM170,dataset,2014-06-20 21:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Annual earnings by economic control - NACE Rev. 2, B-S excluding O (2022)",EARN_SES22_ACTRL,dataset,2025-02-12 22:00:00+00:00,2025-02-12 22:00:00+00:00,2022,2022,2022.0,,2022.0,,EARN
"Employed people having a longstanding health problem or a difficulty in basic activities by the type of special assistance used, sex and age",HLTH_DLM180,dataset,2014-07-16 21:00:00+00:00,2024-08-22 09:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Number of employees by economic activity, sex, educational attainment level",EARN_SES_AGT04,dataset,2017-01-31 22:00:00+00:00,2023-12-21 22:00:00+00:00,2002,2002,2002.0,,2002.0,,EARN
"Not employed people having a longstanding health problem or a difficulty in basic activities by the type of special assistance needed, sex and age",HLTH_DLM190,dataset,2014-07-16 21:00:00+00:00,2024-08-22 09:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Mean monthly earnings by economic activity, sex, length of service in the enterprise",EARN_SES_AGT24,dataset,2017-01-31 22:00:00+00:00,2024-02-14 10:00:00+00:00,2002,2002,2002.0,,2002.0,,EARN
Disability employment gap by level of activity limitation and sex (source EU-SILC),HLTH_DLM200,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Mean hourly earnings by economic activity, sex, employment contract",EARN_SES_AGT15,dataset,2017-01-31 22:00:00+00:00,2024-06-07 21:00:00+00:00,2002,2002,2002.0,,2002.0,,EARN
"Severe material and social deprivation rate by level of disability (activity limitation), sex and age",HLTH_DM010,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2014,2024,2014.0,,2024.0,,HLTH
"Mean monthly earnings by size of the enterprise, sex, occupation",EARN_SES_AGT25,dataset,2017-01-31 22:00:00+00:00,2024-02-14 10:00:00+00:00,2002,2002,2002.0,,2002.0,,EARN
"Mean monthly hours paid by economic activity, sex, age",EARN_SES_AGT34,dataset,2017-01-31 22:00:00+00:00,2023-12-21 22:00:00+00:00,2002,2002,2002.0,,2002.0,,EARN
"Inability to afford paying for one week annual holiday away from home by level of disability (activity limitation), sex and age",HLTH_DM020,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
Early leavers from education and training by sex and country of birth,EDAT_LFSE_02,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,2004,2024,2004.0,,2024.0,,EDAT
"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by level of disability (activity limitation), sex and age",HLTH_DM030,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
Enterprises sourcing abroad,EGI_SO1,dataset,2023-04-17 21:00:00+00:00,2024-01-03 22:00:00+00:00,2007,2021,2007.0,,2021.0,,EGI
Water use balance,ENV_WAT_BAL,dataset,2024-07-08 09:00:00+00:00,2024-07-08 09:00:00+00:00,1970,2022,1970.0,,2022.0,,ENV
Catches - south-east Pacific,FISH_CA_PAC87,dataset,2014-03-10 22:00:00+00:00,2024-01-03 22:00:00+00:00,1950,2011,1950.0,,2011.0,,FISH
"Inability to face unexpected financial expenses by level of disability (activity limitation), sex and age",HLTH_DM040,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
Export to import ratio,EGI_TR1,dataset,2024-03-09 22:00:00+00:00,2024-03-09 22:00:00+00:00,2007,2023,2007.0,,2023.0,,EGI
"Arrears (mortgage or rent, utility bills or hire purchase) by level of disability (activity limitation), sex and age",HLTH_DM050,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
Air emissions intensities by NACE Rev. 2 activity,ENV_AC_AEINT_R2,dataset,2024-12-13 10:00:00+00:00,2024-12-13 10:00:00+00:00,1995,2023,1995.0,,2023.0,,ENV
"Ability to make ends meet by level of disability (activity limitation), sex and age",HLTH_DM060,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
Water made available for use,ENV_WAT_USE,dataset,2024-07-05 21:00:00+00:00,2024-07-05 21:00:00+00:00,1980,2022,1980.0,,2022.0,,ENV
"Share of persons who cannot afford a telephone by level of activity limitation, sex and age",HLTH_DM070,dataset,2025-03-21 22:00:00+00:00,2024-01-05 10:00:00+00:00,2010,2021,2010.0,,2021.0,,HLTH
"Extra-EU trade of food, drinks and tobacco (SITC 0+1) by partner",EXT_LT_MAINAGRI,dataset,2025-04-23 09:00:00+00:00,2025-03-18 10:00:00+00:00,2002,2024,2002.0,,2024.0,,EXT
"Share of persons who cannot afford a colour TV by level of activity limitation, sex and age",HLTH_DM080,dataset,2025-03-21 22:00:00+00:00,2024-01-05 10:00:00+00:00,2010,2021,2010.0,,2021.0,,HLTH
Foreign control of enterprises by economic activity and a selection of controlling countries (2008-2020),FATS_G1A_08,dataset,2023-11-03 22:00:00+00:00,2024-04-12 21:00:00+00:00,2008,2020,2008.0,,2020.0,,FATS
"Share of persons who cannot afford a computer by level of disability (activity limitation), sex and age",HLTH_DM090,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
"Population by type of disability, sex, age and household composition",HLTH_DP070,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Self-reported consultation of mental healthcare or rehabilitative care professionals by sex, age and educational attainment level",HLTH_EHIS_AM6E,dataset,2022-03-22 10:00:00+00:00,2024-01-03 22:00:00+00:00,2014,2019,2014.0,,2019.0,,HLTH
"Share of persons who cannot afford a washing machine by level of activity limitation, sex and age",HLTH_DM100,dataset,2025-03-21 22:00:00+00:00,2024-01-05 10:00:00+00:00,2010,2021,2010.0,,2021.0,,HLTH
"Self-reported unmet needs for health care by specific reasons, level of disability (activity limitation), sex and age",HLTH_EHIS_UN1D,dataset,2022-11-25 22:00:00+00:00,2024-01-03 22:00:00+00:00,2014,2019,2014.0,,2019.0,,HLTH
"Share of persons who cannot afford a personal car by level of disability (activity limitation), sex and age",HLTH_DM110,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2010,2024,2010.0,,2024.0,,HLTH
Persons reporting a longstanding health problem or a basic activity difficulty by sex and age,HLTH_DP010,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Population by type of longstanding health problem, sex and age",HLTH_DP020,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Prevalence of the main longstanding health problems by sex and age,HLTH_DP030,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Foreign control of enterprises by controlling countries (2003-2007),FATS_G1B_03,dataset,2011-07-08 09:00:00+00:00,2024-08-09 09:00:00+00:00,2003,2007,2003.0,,2007.0,,FATS
"Population by type of basic activity difficulty, sex and age",HLTH_DP040,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Prevalence of the main basic activity difficulties by sex and age,HLTH_DP050,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
"Population by type of disability, sex, age and marital status",HLTH_DP060,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Foreign affiliates of the EU enterprises by NACE Rev.2 activity and country of the affiliates (from 2021 onwards),FATS_OUT_ACTIV,dataset,2025-02-25 22:00:00+00:00,2024-12-10 10:00:00+00:00,2021,2022,2021.0,,2022.0,,FATS
"Population by type of disability, sex, age and degree of urbanization",HLTH_DP080,dataset,2019-03-21 22:00:00+00:00,2024-01-03 22:00:00+00:00,2011,2011,2011.0,,2011.0,,HLTH
Catches - Antarctic - Total,FISH_CA_ANT90,dataset,2014-03-10 22:00:00+00:00,2024-01-03 22:00:00+00:00,1950,2011,1950.0,,2011.0,,FISH
"Persons at risk of poverty or social exclusion by level of disability (activity limitation), sex and age",HLTH_DPE010,dataset,2025-04-30 09:00:00+00:00,2025-01-27 22:00:00+00:00,2014,2024,2014.0,,2024.0,,HLTH
